category,color
Main Character,#FF6B6B
Clergy,#4ECDC4
Nobility,#45B7D1
Worker,#96CEB4
Student,#FFEEAD
Police,#D4A5A5
Innkeeper,#9B59B6
Criminal,#E74C3C
Soldier,#3498DB
Child,#F1C40F
Historical,#95A5A6 
