product_id,product_hs92_code,year,export_value,import_value,pci
777,1505,1995,65003192,65003192,1.037
778,1506,1995,81084464,81084464,0.728
779,1507,1995,3737227392,3737227392,-0.846
780,1508,1995,317368650,317368650,-0.676
781,1509,1995,2182730945,2182730945,-1.114
782,1510,1995,136316786,136316786,-0.761
783,1511,1995,5237088330,5237088330,-2.952
784,1512,1995,2593698381,2593698381,-0.346
785,1513,1995,1440579337,1440579337,-2.338
786,1514,1995,1807577255,1807577255,0.831
787,1515,1995,1391396411,1391396411,-1.101
788,1516,1995,1754474339,1754474339,-0.29
789,1517,1995,1521040538,1521040538,-0.254
790,1518,1995,356007861,356007861,0.612
791,1519,1995,2292956930,2292956930,0.222
792,1520,1995,658259348,658259348,-1.401
793,1521,1995,123494333,123494333,-1.575
794,1522,1995,40671840,40671840,0.273
795,1601,1995,1308957379,1308957379,0.316
796,1602,1995,4166206027,4166206027,-0.362
797,1603,1995,84451861,84451861,-1.105
798,1604,1995,5592568701,5592568701,-1.464
799,1605,1995,3092798355,3092798355,-1.343
800,1701,1995,10965144961,10965144961,-1.44
801,1702,1995,1332251271,1332251271,0.667
802,1703,1995,700574421,700574421,-1.487
803,1704,1995,3746011606,3746011606,-0.431
804,1801,1995,2431299680,2431299680,-2.623
805,1802,1995,47676166,47676166,-3.467
806,1803,1995,486954792,486954792,-1.351
807,1804,1995,1465124668,1465124668,-1.644
808,1805,1995,323038639,323038639,-1.76
809,1806,1995,7358255490,7358255490,0.77
810,1901,1995,3144872420,3144872420,0.192
811,1902,1995,2193937340,2193937340,-0.722
812,1903,1995,21707664,21707664,-1.376
813,1904,1995,1148589999,1148589999,-0.29
814,1905,1995,6775952602,6775952602,-0.001
815,2001,1995,632507337,632507337,-1.008
816,2002,1995,1611766938,1611766938,-1.04
817,2003,1995,836140908,836140908,-0.801
818,2004,1995,1685017488,1685017488,0.366
819,2005,1995,3526520513,3526520513,-1.009
820,2006,1995,240828101,240828101,-0.527
821,2007,1995,779092624,779092624,-0.434
822,2008,1995,3919797423,3919797423,-1.263
823,2009,1995,5325625622,5325625622,-0.667
824,2101,1995,2129119050,2129119050,-0.756
825,2102,1995,553270169,553270169,-0.206
826,2103,1995,2305112030,2305112030,-0.284
827,2104,1995,891505349,891505349,-0.632
828,2105,1995,1148297280,1148297280,0.253
829,2106,1995,8615752181,8615752181,-0.523
830,2201,1995,1155072586,1155072586,0.038
831,2202,1995,3026347928,3026347928,-0.285
832,2203,1995,4491376324,4491376324,-0.591
833,2204,1995,9675377361,9675377361,-0.392
