proximity,source,target
0.015831160381004565,111110,111140
0.39514429990301975,111110,111150
0.004063137477845032,111120,111150
0.02307460789887302,111130,111150
0.018208769758374224,111140,111150
0.01203991611830212,111110,111160
0.013301892792321203,111140,111160
0.0188738511371518,111140,111199
0.013661073204033685,111160,111199
0.07424434946671288,111140,111219
0.012157791382696084,111160,111219
0.060309171656722865,111199,111219
0.027923300804656735,111211,111334
0.01695545030996111,111219,111334
0.022722580148450924,111332,111334
0.0652970381783941,111320,111334
0.05153227187125492,111334,111335
0.011733992182004613,111332,111335
0.06804775612288236,111320,111335
0.03631235720890185,111140,111339
0.013169027638072343,111199,111339
0.056828770551769284,111219,111339
0.027080406502581693,111334,111339
0.01590979583645022,111335,111339
0.03789523618383842,111336,111339
0.06514412897942615,111332,111339
0.01995110292105311,111320,111339
0.015658278772580265,111211,111419
0.02815461310033414,111140,111421
0.01210867852175713,111199,111421
0.05978784028339301,111219,111421
0.06570990675194804,111339,111421
0.011627554078559019,111336,111421
0.04881172769299145,111332,111421
0.07343264155036518,111160,111910
0.011776411589761095,111199,111910
0.0147332536588233,111110,111920
0.022655275031199,111130,111920
0.012406781928234625,111150,111920
0.01690288524115988,111160,111930
0.023568938513615925,111910,111930
0.018024725220900845,111110,111940
0.013377926421404682,111130,111940
0.03650135437915928,111150,111940
0.0728903029864777,111160,111991
0.010730587803806363,111199,111991
0.04284176040688217,111211,111991
0.010082399599553349,111219,111991
0.018233179250128403,111334,111991
0.07475543540516393,111910,111991
0.0340789094748968,111920,111992
0.024169271685539118,111140,111998
0.060146556041504325,111199,111998
0.05321922476807949,111219,111998
0.017683091092191454,111339,111998
0.024635734289883006,111421,111998
0.012499570601284761,111336,111998
0.03608847602327974,111332,111998
0.049918408578755145,111110,112111
0.012186471109110746,111140,112111
0.065117724764939,111150,112111
0.020296837361100318,111940,112111
0.015874821602167664,111110,112112
0.02321757296212795,111150,112112
0.01765553905316634,111199,112112
0.028760833143731773,112111,112112
0.06692530099262746,111140,112120
0.022289119438160223,111199,112120
0.029927611566747527,111219,112120
0.0136551570809233,111421,112120
0.027287158356822196,111998,112120
0.010338187464364988,112111,112120
0.04205059649834996,111332,112120
0.010550404184498336,111110,112210
0.03199499038682628,111140,112210
0.013799730543667775,111150,112210
0.022670409360122885,111199,112210
0.025711370374648646,111219,112210
0.017802733127770986,111339,112210
0.013497826235403911,111421,112210
0.01317847257001007,111998,112210
0.01747503566333809,112111,112210
0.03184438896814075,112112,112210
0.047100968555128034,112120,112210
0.011135569079373301,111332,112210
0.05121116993862156,112310,112320
0.03528088834746755,112320,112330
0.09115558424790188,112310,112330
0.024057395294681688,111140,112410
0.011213555038292402,111199,112410
0.01772746524970159,111219,112410
0.011772701563611815,111339,112410
0.012818681646504513,111998,112410
0.019800767034663595,112111,112410
0.02008871135725926,112112,112410
0.053311770042564786,112120,112410
0.05984506260897131,112210,112410
0.026546015953340767,112340,112410
0.014672907502481222,112410,112920
0.04793662594375427,111140,112990
0.02978936747768882,111199,112990
0.03365341063502129,111219,112990
0.010516007509425829,111421,112990
0.054009318404119336,111998,112990
0.05703602587690664,112120,112990
0.0311263201626834,112210,112990
0.03438748512327766,112410,112990
0.011342231773867574,112511,112990
0.01556862659348829,111332,112990
0.018412774770328398,112340,112990
0.015057207799058205,113210,114210
0.01725144360726698,112519,114210
0.03420771780037073,114111,114210
0.055041923734752946,111199,115112
0.02307188787493743,111219,115112
0.024610422365616284,111998,115112
0.012402466097901658,112210,115112
0.014144209714148271,112990,115112
0.011773464765682116,113110,115112
0.01592931898899883,115112,115113
0.010185471938336603,115111,115113
0.013290677279841383,111199,115114
0.011483962881675715,111219,115114
0.012545618707273954,111421,115114
0.014289485245860144,111998,115114
0.012679788718000209,112120,115114
0.025772117618744504,115112,115114
0.010552744719715075,113110,115114
0.018383137766796967,111332,115114
0.016411166897788643,111998,115116
0.011778373422726732,112511,115116
0.018661110607844915,112990,115116
0.011679563223684651,113110,115116
0.016994636521764393,111199,115210
0.013003396842095878,112112,115210
0.01839733245366119,112210,115210
0.022329921188513454,112990,115210
0.03275159754289917,115112,115210
0.028149734121900284,115114,115210
0.010435705179069747,112390,115210
0.02004820859426302,115115,115210
0.04194537869199488,236115,236116
0.042236195666018925,236115,236220
0.08805385148002981,236116,236220
0.061340432228843354,236117,236220
0.035593349573164526,213114,236220
0.017444778138052036,237990,238130
0.01289687218253693,236117,238130
0.018879042209398848,236115,238910
0.02021470748284154,236116,238910
0.018657882407696745,236220,238910
0.014295006415819472,238130,238910
0.01928172667886578,238210,238910
0.015459842432239369,238220,238910
0.03845244803964229,237310,238910
0.015625976417964448,238320,238910
